Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-01-01,Guiddoo World,Seed,800000.0,2018,2016,Mumbai,Logistics
2018-01-01,Verloop,Series A,3000000.0,2018,2016,Bangalore,Technology
2018-01-01,Chizel,Seed,5800000.0,2018,2016,Pune,Manufacture
2018-01-02,MCaffeine,Seed,32000000.0,2018,2016,Mumbai,Consumer Services
2018-01-04,Tricog Health Services Pvt Ltd,Series A,4000000.0,2018,2016,Bangalore,Automotive
2018-01-04,Sattviko,Angel,5800000.0,2018,2016,Delhi,Consumables
2018-01-05,Elemential,Seed,1000000.0,2018,2016,Mumbai,Technology
2018-01-05,PaisaDukan,Seed,650000.0,2018,2016,Mumbai,Finance
2018-01-05,Xplorabox,Seed,5800000.0,2018,2016,Noida,Automotive
2018-01-05,Shape (School Health and Physical Education),Seed,200000.0,2018,2016,Pune,Education
2018-01-05,mfine,Series A,4200000.0,2018,2016,Bangalore,Automotive
2018-01-06,Impact Guru,Series A,2000000.0,2018,2016,Mumbai,Automotive
2018-01-06,MY CHIRAAG CAB,Seed,1000000.0,2018,2016,Jaipur,Logistics
2018-01-07,StockEdge,Seed,1100000.0,2018,2016,Kolkata,Marketing
2018-01-07,MySEODoc,Seed,5800000.0,2018,2016,Delhi,Marketing
2018-01-08,NiYO Solutions,Series A,13200000.0,2018,2016,Bangalore,FinTech
2018-01-08,Hubhopper,Series A,500000.0,2018,2016,Delhi,Gaming
2018-01-09,Zomato,Seed,210000000.0,2018,2016,Gurugram,Consumables
2018-01-09,Haazri,Seed,12500000.0,2018,2016,Mumbai,Consumables
2018-01-09,Faclon Labs,Seed,5800000.0,2018,2016,Mumbai,Technology
2018-01-09,Aldopay,Seed,200000.0,2018,2016,Chennai,Finance
2018-01-10,EGK Foods,Seed,20000000.0,2018,2016,Mumbai,Consumables
2018-01-12,AgNext Technologies,Series A,5800000.0,2018,2016,Mohali,Agriculture
2018-01-13,Mombay,Seed,7500.0,2018,2016,Mumbai,Consumables
2018-01-13,WHR,Seed,143145.0,2018,2016,Pune,Automotive
2018-01-13,Stanza Living,Venture - Series Unknown,730000000.0,2018,2016,Delhi,Hospitality
2018-01-15,Signzy,Series A,240000000.0,2018,2016,Bangalore,FinTech
2018-01-17,ZestMoney,Series A,13400000.0,2018,2016,Bangalore,FinTech
2018-01-17,Coutloot,Seed,1000000.0,2018,2016,Mumbai,Lifestyle
2018-01-20,BhaskarGuru,Seed,1000000.0,2018,2016,Bhopal,Other
2018-01-20,Vahdam Teas,Series B,2500000.0,2018,2016,Delhi,Consumables
2018-01-20,Upwards Fintech,Series A,5000000.0,2018,2016,Mumbai,Finance
2018-01-21,OYO,Series E,100000000.0,2018,2016,Gurugram,Hospitality
2018-01-21,Virtual MetalStreet(MetalStreet),Angel,700000.0,2018,2016,Bangalore,E-Commerce
2018-01-22,NIRA,Seed,1000000.0,2018,2016,Bangalore,FinTech
2018-01-23,McXtra,Seed,1300000.0,2018,2016,Andheri,Finance
2018-01-25,Mintifi,Seed,2000000.0,2018,2016,Mumbai,Finance
2018-01-26,Creator’s Gurukul,Angel,5800000.0,2018,2016,Gurugram,Other
2018-01-26,Licious,Series C,25000000.0,2018,2016,Bangalore,Consumables
2018-01-29,Aviom India Housing Finance,Series A,150000000.0,2018,2016,Delhi,Finance
2018-01-29,srJna,Seed,5800000.0,2018,2016,Jaipur,Education
