Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2021-01-01,Captain Fresh,2019,Bangalore,Utham Gowda,"Matrix Partners India, Ankur Capital",3000000.0,Seed,2021,Other
2021-01-01,SuperOps.ai,2020,Chennai,"Arvind Parthiban, Jayakumar Karumbasalam","Ramakant Sharma, Elevation Capital",3000000.0,Seed,2021,Technology
2021-01-01,Aviom India,2016,Bhilwara,Kajal Ilmi,Sabre Partners,8000000.0,Series C,2021,Finance
2021-01-02,Wingreens Farms,2011,Gurugram,"Anju C Srivastava, Arjun Srivastava","Investcorp, Omidyar Network",17000000.0,Seed,2021,Consumables
2021-01-02,TagZ Foods,2019,Bangalore,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000.0,Pre-series A,2021,Consumables
2021-01-02,VRO Hospitality,2018,Bangalore,"Safdhar Adoor, Sharath Rice, Dawn Thomas",CreedCap Asia Advisors,3000000.0,Series A,2021,Hospitality
2021-01-03,Slice,2016,Bangalore,Rajan Bajaj,"Gunosy, Blume Ventures",20000000.0,Seed,2021,FinTech
2021-01-03,Plix,2018,Mumbai,"Rishubh Satiya, Akash Zaveri","Guild Capital, RPSG Capital Ventures",5000000.0,Series A,2021,Wellness/Beauty
2021-01-03,Do Your Thng,2018,Gurugram,Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000.0,Seed,2021,Marketing
2021-01-03,XYXX Apparels,2017,Surat,Yogesh Kabra,Inflection Point Ventures,4000000.0,Series A,2021,Lifestyle
2021-01-04,Jambox Games,2021,Bangalore,Ravi Vyas,Inflection Point Ventures,1100000.0,Seed,2021,Gaming
2021-01-04,UrbanMatrix Technologies,2019,Chennai,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARA ELGI,100000.0,Seed,2021,Technology
2021-01-05,Insane AI,2021,Bangalore,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,800000.0,Seed,2021,Wellness/Beauty
2021-01-05,Scentials,2018,Mumbai,"Mahesh Bhupathi, Jinesh Mehta","Ambiga Subramanian, Goutham Ekollu",6000000.0,Seed,2021,Automotive
